Neil Flynn
Neville Brand
Nick Carter (musician)
Nicky Katt
Noah Wyle
Omri Katz
Orson Bean
Oscar Isaac
Ossie Davis
Owen Wilson
Oz Perkins
Pat Boone
Pat Morita
Pat O'Brien  
Pat Proft
Patrick Duffy
Patrick Fugit
Patrick Wilson  
Patton Oswalt
Paul Anka
Paul Fusco
Paul Lynde
Paul Muni
Paul Rudd
Peter Berg
Peter DeLuise
Peter Falk
Peter Jurasik
Peter Lawford
Peter Scolari
Peter Strauss
Peter Tork
Philip Ahn
Philip Baker Hall
Ray Bolger
Ray Danton
Ray Eberle
Ray Liotta
Ray Romano
Reb Brown
Redd Foxx
Rex Smith
Ricardo Antonio Chavira
Richard C. Sarafian
Richard Carlson
Richard Chamberlain
Richard Denning
Richard Eastham
Richard Farnsworth
Richard Jaeckel
Richard Jenkins
Richard Libertini
Richard Roundtree
Richard Simmons
Richard Thomas  
Rip Taylor
Rob Morrow
Rob Reiner
Robert Beltran
Robert Carradine
Robert David Hall
Robert Ellenstein
Robert Englund
Robert Forster
Robert Guillaume
Robert Knepper
Robert Pastorelli
Robert Patrick
Robert Walker, Jr.
Robert Young  
Rodney Dangerfield
Ron Eldard
Ron Rifkin
Ron Silver
Ron Vawter
Roy Rogers
Russ Meyer
Ryan Dunn
Sal Mineo
Sam Elliott
Sam Jaffe
Sam Jones III
Sam Raimi
Sam Wanamaker
Sam Waterston
Sammy Davis, Sr.
Saul Williams
Scott Baio
Scott Caan
Scott Foley
Scott Glenn
Scott Grimes
Scott Plank
Scott Weinger
Scott Wolf
Sean Hayes  
Sean Patrick Flanery
Sean Stone
Sessue Hayakawa
Shane Black
Shane West
Shaun Toub
Sheb Wooley
Sid Caesar
Sig Ruman
Simon Baker
Simon Helberg
Simon Rex
Skeet Ulrich
Smith Cho
Sonny Bono
Spencer Treat Clark
Spike Lee
Stacy Keach
Stephen Elliott  
Stepin Fetchit
Steve Antin
Steve Guttenberg
Steve Miner
Steve Tracy
Steve Zahn
Steven Culp
Steven Weber  
Stuart Margolin
Ted Danson
Ted Demme
Ted Levine
Ted Raimi
Telly Savalas
Tex Ritter
Theodore Bikel
Thuy Trang
Tim DeKay
Tim Kring
Tim McGraw
Tobey Maguire
Tobin Bell
Todd Field
Tom Atkins  
Tom Ewell
Tom Holland  
Tom Hulce
Tom Savini
Tom Tryon
Tommy Bond
Tony Danza
Tony Shalhoub
Tony Todd
Trace Adkins
Tracy Morgan
Tracy Pollan
Treat Williams
Troy Donahue
Ty Panitz
Vic Morrow
Vincent Gallo
Vincent Price
Walter Abel
Walter Brennan
Warren William
Wayne Brady
Wayne McLaren
Wes Ramsey
Wil Wheaton
Will.i.am
Will Patton
William Alland
William Atherton
William Beaudine
William Castle
William Conrad
William Devane
William Fichtner
William Haines
William Hootkins
William Mapother
William Petersen
William Powell
Wolfgang Zilzer
Yakima Canutt
Zach Galifianakis
Al Jolson
Al Martino
Al Pacino
Alan Ladd
Alexander Godunov
Andy Garc%C3%ADa
Armin Shimerman
Benicio del Toro
Billy Zane
Bob Fosse
Brad Pitt
Brandon Adams
Bruce Lee
Chad Allen  
Chico Marx
Chris Pine
Chuck Aber
Clark Gable
Cody Linley
Cole Hauser
Corbin Bleu
Dan Castellaneta
Daniel Dae Kim
Danny Kaye
David Duchovny
Dick York
Don Adams
Dustin Hoffman
Ed Harris
Edward James Olmos
Elia Kazan
Emile Hirsch
Frank Borzage
Frank Lovejoy
Fred Niblo
Fredric March
Gale Harold
Gene Barry
Gene Wilder
Ginger Lynn
Glenn Ford
Harpo Marx
Iron Eyes Cody
J.B. Adams
James Dean
Jared Leto
Jeff Goldblum
Jeremy Renner
Jim Carrey
Joe Jonas
Joe Ranft
John Garfield
John L. Adams
John Travolta
Johnny Knoxville
Johnny Weissmuller
Jon Voight
Josh Lucas
Karl Malden
Kevin Bacon
Kevin Jonas
Kevin Kline
Kevin Smith
Leonardo DiCaprio
Lex Barker
Lorenzo Lamas
M. Night Shyamalan
Macaulay Culkin
Martin Ferrero
Matt Adler
Matt Damon
Matt LeBlanc
Matt Stone
Meat Loaf
Mel Gibson
Mervyn LeRoy
Michael Biehn
Michael Moore
Miguel Sandoval
Mike Nichols
Milo Ventimiglia
Nick Jonas
Nick Nolte
Omar Epps
Owen Moore
Pat Hingle
Peter Bogdanovich
Philip Abbott
Richard Widmark
River Phoenix
Robert De Niro
Robert Mitchum
Robert Picardo
Robert Redford
Robert Z. Leonard
Robin Williams
Ron Howard
Rosalind Russell
Sam Peckinpah
Scott Bakula
Sean Astin
Sean Penn
Seth MacFarlane
Tim Abell
Tom Cruise
Tom Hanks
Tom Waits
Val Kilmer
Van Heflin
Vin Diesel
Walter Matthau
Walter Pidgeon
Walton Goggins
Wes Craven
Wes Studi
Will Rogers
William Bendix
William Dieterle
Woody Allen
Zac Efron
Zeppo Marx
Aaron Lohr
Adrian Zmed
Adrienne Shelly
Ahmet Zappa
Al Bridge
Alden Ehrenreich
Aldo Ray
Alex Ko
Allan Jones  
Allyn Joslyn
Andr%C3%A9 DeShields
Andras Jones
Andreas Katsulas
Andrew Lawrence  
Andy Devine
Andy Milder
Andy Sidaris
Ant 
Anthony Crivello
Anthony Eisley
Anthony Marciona
Anthony Meindl
Anthony Rapp
Anthony Warde
Arch Hall, Sr.
Art Lund
Artie Lange
Ashley Springer
Austin Miller
Avner the Eccentric
Barnet Kellman
Barry Corbin
Barry Dennen
Barry Gordon
Ben Bledsoe
Benjamin McKenzie
Biff McGuire
Bill Boyd (musician)
Bill Damaschke
Bill Fagerbakke
Bill McCutcheon
Bill McKinney
Bill Stevenson (musician)
Billy Barty
Billy Bletcher
Billy Daniels
Billy House
Billy Ray Cyrus
Bing Crosby
Blake Sennett
Bob Hope
Bob Kortman
Bobby Beausoleil
Bobby Burns
Brad Hawkins
Brad Leland
Bradley Cooper
Bradley Stryker
Brandon Cruz
Brent Barrett
Brent Spiner
Brian Anthony Wilson
Brian Roper  
Burt Mustin
Candice Rialson
Carl Ballantine
Carleton Carpenter
Carson Kressley
Cesare Danova
Chace Crawford
Channing Pollock (magician)
Charles Collins  
Charles Fredericks  
Charles Korvin
Charles Meredith  
Charlie McDermott
Charlie O'Connell
Charlie Sheen
Chaz Lamar Shepherd
Cheyenne Jackson
Chris Beetem
Chris Sarandon
Christian Borle
Christian Kane
Christopher Fitzgerald  
Christopher Lawford
Clarence Muse
Cleavant Derricks  
Cliff DeYoung
Coit Albertson
Coolio
Crispin Glover
Curtis Holbrook
Dale Midkiff
Dan Finnerty
Daniel Breaker
Daniel Davis
Daniel Reed (screenwriter)
Danielle Schneider
Danny Burstein
Danny Dayton
Danny Thomas
Daryl Anderson
David Brooks  
David Burtka
David Haskell
David Hasselhoff
David Hayter
David Pittu
David Thornton  
Dean Jagger
Dean Lorey
Denis O'Hare
Dennis Banks
Dennis Crosby
Devon Scott
Doctor Dr%C3%A9
Don Beddoe
Don Collier
Don Fellows
Don Simpson
Donnie Wahlberg
Douglas Croft
Dwight Schultz
Dwight Yoakam
Earl Holliman
Ed Begley, Jr.
Ed Wynn
Eddie Albert
Eddie Dean 
Eddie Phillips  
Edi Gathegi
Edmund Lowe
Edward Mallory
Eleanor Mondale
Emory Parnell
Eric Laneuville
Eric McCormack
Ernie Lively
Errol Flynn
